"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Jul-2025","EQ","916.40","927.00","916.40","916.40","925.90","925.20","922.77","1,222.00","715.30","4,09,783","37,81,33,598.50","24,998"
"14-Jul-2025","EQ","920.60","921.70","912.00","922.40","916.40","916.40","915.91","1,222.00","715.30","8,43,161","77,22,63,413.00","27,258"
"11-Jul-2025","EQ","926.55","933.95","920.50","926.55","920.80","922.40","926.44","1,222.00","715.30","6,02,074","55,77,84,164.35","22,960"
"10-Jul-2025","EQ","937.00","941.95","921.00","946.00","926.90","926.55","930.97","1,222.00","715.30","19,85,307","1,84,82,67,593.50","48,354"
"09-Jul-2025","EQ","946.85","953.00","944.55","946.85","946.00","946.00","947.72","1,222.00","715.30","4,82,380","45,71,62,400.15","23,354"
"08-Jul-2025","EQ","943.70","949.05","940.90","943.70","945.50","946.85","945.98","1,222.00","715.30","5,40,491","51,12,94,476.60","26,266"
"07-Jul-2025","EQ","940.70","947.00","938.05","940.70","944.45","943.70","943.49","1,222.00","715.30","4,64,630","43,83,72,055.45","20,445"
"04-Jul-2025","EQ","945.00","953.85","934.00","946.00","942.50","940.70","942.23","1,222.00","715.30","7,87,030","74,15,66,544.90","31,556"
"03-Jul-2025","EQ","958.00","961.50","944.90","958.00","945.50","946.00","950.19","1,222.00","715.30","9,13,793","86,82,73,277.35","33,609"
"02-Jul-2025","EQ","967.00","970.95","952.80","970.95","957.00","958.00","961.20","1,222.00","715.30","7,21,322","69,33,34,241.75","26,065"
"01-Jul-2025","EQ","977.00","977.90","962.55","972.80","969.00","970.95","970.28","1,222.00","715.30","9,04,582","87,76,97,421.80","27,064"
"30-Jun-2025","EQ","957.70","980.00","957.20","957.70","972.95","972.80","972.06","1,222.00","715.30","24,37,347","2,36,92,38,958.85","67,617"
"27-Jun-2025","EQ","958.00","962.25","950.50","957.55","959.50","957.70","957.19","1,222.00","715.30","7,39,305","70,76,56,226.90","26,514"
